Boid,Speed
Boid91,2.415277,0.3533334
Boid92,4.086016,0.3533334
Boid93,2.765396,0.3533334
Boid94,2.086299,0.3533334
Boid95,2.445814,0.3533334
Boid96,4.372468,0.3533334
Boid97,1.401416,0.3533334
Boid98,1.00077,0.3533334
Boid99,2.922165,0.3533334
Boid100,2.526378,0.3533334
Boid101,3.63976,0.3533334
Boid102,1.582865,0.3533334
Boid103,1.701098,0.3533334
Boid104,1.859244,0.3533334
Boid105,4.870531,0.3533334
Boid106,4.450379,0.3533334
Boid107,2.993862,0.3533334
Boid108,4.832867,0.3533334
Boid109,1.16526,0.3533334
Boid110,4.143241,0.3533334
Boid111,3.149155,0.3533334
Boid112,4.779068,0.3533334
Boid113,4.121491,0.3533334
Boid114,2.540604,0.3533334
Boid115,2.73295,0.3533334
Boid116,3.064561,0.3533334
Boid117,3.486167,0.3533334
Boid118,4.220244,0.3533334
Boid119,3.586948,0.3533334
Boid120,4.001507,0.3533334
Boid121,2.666879,0.3533334
Boid122,4.130754,0.3533334
Boid123,2.414993,0.3533334
Boid124,1.719997,0.3533334
Boid125,4.22812,0.3533334
Boid126,3.858074,0.3533334
Boid127,4.792573,0.3533334
Boid128,4.212148,0.3533334
Boid129,3.050609,0.3533334
Boid130,3.693872,0.3533334
Boid131,1.421539,0.3533334
Boid132,3.167881,0.3533334
Boid133,1.415359,0.3533334
Boid134,3.892675,0.3533334
Boid135,1.097637,0.3533334
Boid136,2.133529,0.3533334
Boid137,3.805423,0.3533334
Boid138,1.461126,0.3533334
Boid139,2.84274,0.3533334
Boid140,3.86887,0.3533334
Boid141,1.525675,0.3533334
Boid142,1.181329,0.3533334
Boid143,4.934957,0.3533334
Boid144,3.667269,0.3533334
Boid145,2.50402,0.3533334
Boid146,1.19112,0.3533334
Boid147,3.14152,0.3533334
Boid148,4.919413,0.3533334
Boid149,2.752203,0.3533334
Boid150,3.25743,0.3533334
Boid151,3.998892,0.3533334
Boid152,4.126042,0.3533334
Boid153,1.435502,0.3533334
Boid154,4.767696,0.3533334
Boid155,1.883852,0.3533334
Boid156,4.724601,0.3533334
Boid157,3.084764,0.3533334
Boid158,1.280244,0.3533334
Boid159,3.49998,0.3533334
Boid160,3.255284,0.3533334
Boid161,3.996862,0.3533334
Boid162,4.269704,0.3533334
Boid163,4.978742,0.3533334
Boid164,4.819593,0.3533334
Boid165,3.78051,0.3533334
Boid166,3.481755,0.3533334
Boid167,3.59737,0.3533334
Boid168,2.26069,0.3533334
Boid169,2.745254,0.3533334
Boid170,4.404464,0.3533334
Boid171,1.889067,0.3533334
Boid172,3.413131,0.3533334
Boid173,1.124865,0.3533334
Boid174,3.407108,0.3533334
Boid175,2.330333,0.3533334
Boid176,1.275692,0.3533334
Boid177,1.715098,0.3533334
Boid178,3.693264,0.3533334
Boid179,1.239098,0.3533334
Boid180,3.272837,0.3533334
Boid181,1.043093,0.3533334
Boid182,3.570117,0.3533334
Boid183,4.847995,0.3533334
Boid184,3.894848,0.3533334
Boid185,4.107354,0.3533334
Boid186,1.572685,0.3533334
Boid187,4.895242,0.3533334
Boid188,2.891374,0.3533334
Boid189,4.154506,0.3533334
Boid190,4.632217,0.3533334
Boid191,3.354466,0.3533334
Boid192,2.089231,0.3533334
Boid193,2.389658,0.3533334
Boid194,4.753071,0.3533334
Boid195,4.124275,0.3533334
Boid196,3.500228,0.3533334
Boid197,4.271719,0.3533334
Boid198,3.713856,0.3533334
Boid199,3.872311,0.3533334
Boid200,4.086746,0.3533334
Boid201,4.605962,0.3533334
Boid202,1.528378,0.3533334
Boid203,3.786001,0.3533334
Boid204,4.886577,0.3533334
Boid205,2.242071,0.3533334
Boid206,4.323697,0.3533334
Boid207,1.307506,0.3533334
Boid208,3.695157,0.3533334
Boid209,1.345882,0.3533334
Boid210,3.489524,0.3533334
Boid211,1.903966,0.3533334
Boid212,4.741852,0.3533334
Boid213,3.638749,0.3533334
Boid214,2.975144,0.3533334
Boid215,3.152472,0.3533334
Boid216,3.213721,0.3533334
Boid217,2.67038,0.3533334
Boid218,2.136119,0.3533334
Boid219,2.690395,0.3533334
Boid220,1.712296,0.3533334
Boid221,3.579529,0.3533334
Boid222,3.174026,0.3533334
Boid223,4.292671,0.3533334
Boid224,3.742916,0.3533334
Boid225,4.069991,0.3533334
Boid226,3.128004,0.3533334
Boid227,4.474719,0.3533334
Boid228,2.881896,0.3533334
Boid229,1.405958,0.3533334
Boid230,4.316731,0.3533334
Boid231,1.601801,0.3533334
