Boid,Speed
Boid228,488.2226
Boid229,906.6194
Boid230,414.6894
Boid231,863.0145
Boid232,984.6807
Boid233,237.0712
Boid234,164.8749
Boid235,238.73
Boid236,319.8998
Boid237,548.3686
Boid238,699.0094
Boid239,273.2149
Boid240,653.6235
Boid241,758.3956
Boid242,348.9288
Boid243,902.2765
Boid244,403.3709
Boid245,364.2833
Boid246,117.5871
Boid247,531.7078
Boid248,511.4795
Boid249,393.9164
Boid0,460.5811
Boid1,404.9983
Boid2,821.4715
Boid3,901.9313
Boid4,795.6663
Boid5,223.1252
Boid6,674.5017
Boid7,420.6231
Boid8,672.9755
Boid9,1042.897
Boid10,883.2982
Boid11,642.1066
Boid12,365.4666
Boid13,415.1231
Boid14,88.70237
Boid15,721.1585
Boid16,974.1575
Boid17,1013.232
Boid18,664.3307
Boid19,527.6442
Boid20,859.3975
Boid21,397.8354
Boid22,366.0002
Boid23,507.4748
Boid24,234.7785
Boid25,158.2897
Boid26,450.3513
Boid27,598.4742
Boid28,824.1653
Boid29,359.2633
Boid30,402.2207
Boid31,908.2515
Boid32,194.7985
Boid33,128.1815
Boid34,220.6901
Boid35,801.2096
Boid36,811.3214
Boid37,890.3112
Boid38,302.409
Boid39,102.8244
Boid40,689.9609
Boid41,679.8816
Boid42,413.1658
Boid43,744.445
Boid44,1021.14
Boid45,628.1414
Boid46,628.8617
Boid47,622.0949
Boid48,944.5015
Boid49,369.8989
Boid50,161.4949
Boid51,568.3135
Boid52,587.0901
Boid53,535.3365
Boid54,730.8393
Boid55,29.04474
Boid56,460.2271
Boid57,557.5436
Boid58,691.134
Boid59,313.1689
Boid60,857.0707
Boid61,418.2897
Boid62,306.3869
Boid63,236.8204
Boid64,116.9125
Boid65,450.1049
Boid66,530.0924
Boid67,458.0366
Boid68,247.9062
Boid69,720.5737
Boid70,975.9724
Boid71,655.2119
Boid72,609.6497
Boid73,753.5541
Boid74,554.5471
Boid75,203.9057
Boid76,715.0408
Boid77,674.8204
Boid78,277.0564
Boid79,866.796
Boid80,755.9069
Boid81,172.0974
Boid82,556.8497
Boid83,593.851
Boid84,705.209
Boid85,773.1088
Boid86,230.761
Boid87,340.4714
Boid88,626.9459
Boid89,786.4818
Boid90,779.3604
Boid91,703.2274
Boid92,653.981
Boid93,222.4992
Boid94,197.4607
Boid95,892.6916
Boid96,603.7952
Boid97,1035.638
Boid98,955.5692
Boid99,949.9597
Boid100,697.1658
Boid101,648.6284
Boid102,602.0954
Boid103,707.0201
Boid104,548.9436
Boid105,853.0299
Boid106,181.0351
Boid107,711.2452
Boid108,438.7679
Boid109,264.0809
Boid110,790.7117
Boid111,498.7643
Boid112,785.0285
Boid113,453.5286
Boid114,293.9539
Boid115,165.7285
Boid116,420.5673
Boid117,970.5731
Boid118,779.3685
Boid119,407.8202
Boid120,456.8848
Boid121,686.7747
Boid122,674.1976
Boid123,774.317
Boid124,342.0608
Boid125,255.6153
Boid126,657.8652
Boid127,208.3236
Boid128,934.5336
Boid129,425.8146
Boid130,926.2504
Boid131,108.6957
Boid132,720.1313
Boid133,849.473
Boid134,332.2008
Boid135,445.9285
Boid136,463.713
Boid137,486.2312
Boid138,341.4123
Boid139,820.9332
Boid140,655.6385
Boid141,184.3791
Boid142,763.1376
Boid143,576.2806
Boid144,610.1727
Boid145,102.9087
Boid146,695.3889
Boid147,470.8968
Boid148,484.7972
Boid149,82.7896
Boid150,613.7876
Boid151,953.2526
Boid152,332.6369
Boid153,684.1746
Boid154,614.8897
Boid155,153.1532
Boid156,425.5668
Boid157,226.5345
Boid158,410.7427
Boid159,82.05419
Boid160,864.1888
Boid161,1088.789
Boid162,557.9696
Boid163,1046.377
Boid164,671.8101
Boid165,816.6053
Boid166,1053.138
Boid167,806.7748
Boid168,660.2117
Boid169,637.3964
Boid170,440.4274
Boid171,488.1174
Boid172,482.2607
Boid173,652.0639
Boid174,757.9901
Boid175,567.9828
Boid176,1044.562
Boid177,396.0278
Boid178,214.6535
Boid179,576.1937
Boid180,156.1642
Boid181,800.2114
Boid182,466.1829
Boid183,471.0225
Boid184,336.1637
Boid185,578.4398
Boid186,146.0524
Boid187,468.7161
Boid188,672.7899
Boid189,600.6128
Boid190,217.7065
Boid191,323.1962
Boid192,645.5482
Boid193,163.2688
Boid194,32.48467
Boid195,635.9114
Boid196,896.9095
Boid197,714.227
Boid198,305.2898
Boid199,1001.842
Boid200,201.4532
Boid201,406.3991
Boid202,405.2599
Boid203,178.0096
Boid204,409.288
Boid205,555.7819
Boid206,265.0442
Boid207,736.1751
Boid208,429.0006
Boid209,316.7218
Boid210,405.9095
Boid211,403.7556
Boid212,807.4046
Boid213,382.6062
Boid214,234.656
Boid215,870.668
Boid216,642.8336
Boid217,258.9158
Boid218,289.6546
Boid219,85.22923
Boid220,901.5906
Boid221,713.2682
Boid222,376.056
Boid223,1012.257
Boid224,412.6889
Boid225,412.0136
Boid226,464.1948
Boid227,394.3505
Boid228,484.1805
Boid229,905.0239
Boid230,412.4981
Boid231,859.2694
Boid232,977.623
Boid233,232.4055
Boid234,158.6192
Boid235,238.6017
Boid236,317.1089
Boid237,550.7541
Boid238,694.535
Boid239,275.5594
Boid240,648.8203
Boid241,748.4173
Boid242,346.9352
Boid243,890.7791
Boid244,401.2698
Boid245,364.1875
Boid246,111.3753
Boid247,526.9025
Boid248,502.8211
Boid249,393.2644
Boid0,476.3507
Boid1,415.7141
Boid2,851.7437
Boid3,932.1035
Boid4,821.7697
Boid5,232.1945
Boid6,695.7001
Boid7,430.8952
Boid8,699.7272
Boid9,1084.148
Boid10,912.9379
Boid11,664.0096
Boid12,377.2931
Boid13,430.932
Boid14,92.74393
Boid15,743.489
Boid16,1009.583
Boid17,1048.55
Boid18,682.7321
Boid19,542.7883
Boid20,884.2581
Boid21,416.0427
Boid22,378.6741
Boid23,526.5185
Boid24,243.2307
Boid25,158.377
Boid26,462.5131
Boid27,622.2276
Boid28,848.0375
Boid29,370.0667
Boid30,413.2864
Boid31,934.1548
Boid32,199.9944
Boid33,127.0467
Boid34,227.9451
Boid35,828.1447
Boid36,843.7689
Boid37,925.0005
Boid38,317.2366
Boid39,108.5685
Boid40,714.9473
Boid41,706.0447
Boid42,421.581
Boid43,773.1578
Boid44,1057.291
Boid45,645.4202
Boid46,648.9634
Boid47,638.6718
Boid48,973.3414
Boid49,378.3047
Boid50,164.8971
Boid51,588.6364
Boid52,608.2319
Boid53,552.8659
Boid54,754.8969
Boid55,29.94993
Boid56,480.6555
Boid57,578.8455
Boid58,713.7907
Boid59,317.818
Boid60,887.1732
Boid61,433.7074
Boid62,313.8065
Boid63,245.5076
Boid64,124.9635
Boid65,461.5854
Boid66,545.7652
Boid67,475.1488
Boid68,256.9768
Boid69,743.6338
Boid70,1006.14
Boid71,674.7459
Boid72,632.5391
Boid73,779.038
Boid74,574.1645
Boid75,210.2036
Boid76,741.5551
Boid77,703.52
Boid78,286.2252
Boid79,896.4152
Boid80,782.3073
Boid81,173.2574
Boid82,574.8304
Boid83,612.5992
Boid84,729.4916
Boid85,802.3604
Boid86,233.432
Boid87,357.9293
Boid88,653.2947
Boid89,813.2996
Boid90,800.7493
Boid91,724.8776
Boid92,676.5654
Boid93,230.1413
Boid94,204.2333
Boid95,917.6307
Boid96,622.983
Boid97,1067.494
Boid98,983.6924
Boid99,977.756
Boid100,721.0966
Boid101,671.7441
Boid102,616.7889
Boid103,728.5659
Boid104,565.5526
Boid105,882.0555
Boid106,184.4702
Boid107,738.0333
Boid108,459.4789
Boid109,274.9254
Boid110,813.0322
Boid111,515.4161
Boid112,805.8135
Boid113,469.1774
Boid114,298.7611
Boid115,173.89
Boid116,434.7594
Boid117,1007.909
Boid118,809.4156
Boid119,424.2253
Boid120,472.8633
Boid121,715.9518
Boid122,698.5453
Boid123,798.5815
Boid124,353.2936
Boid125,262.0574
Boid126,685.1776
Boid127,210.3935
Boid128,969.9131
Boid129,440.8298
Boid130,958.1893
Boid131,118.1696
Boid132,749.4963
Boid133,878.3461
Boid134,343.631
Boid135,458.3118
Boid136,480.693
Boid137,502.4747
Boid138,357.935
Boid139,848.5513
Boid140,679.2936
Boid141,185.1145
Boid142,790.2706
Boid143,591.5825
Boid144,630.964
Boid145,106.4913
Boid146,713.1978
Boid147,488.2461
Boid148,504.366
Boid149,86.85446
Boid150,640.6668
Boid151,987.1457
Boid152,342.3328
Boid153,707.6179
Boid154,635.14
Boid155,157.1119
Boid156,437.5161
Boid157,238.6508
Boid158,425.3049
Boid159,83.82326
Boid160,898.4949
Boid161,1128.267
Boid162,574.2808
Boid163,1085.568
Boid164,698.743
Boid165,843.7105
Boid166,1089.583
Boid167,835.9409
Boid168,684.3527
Boid169,657.8343
Boid170,458.7531
Boid171,504.6401
Boid172,498.0016
Boid173,673.5743
Boid174,786.697
Boid175,582.3061
Boid176,1074.782
Boid177,406.1571
Boid178,217.2584
Boid179,593.2493
Boid180,165.622
Boid181,832.5397
Boid182,485.4587
Boid183,487.4803
Boid184,343.2427
Boid185,599.7778
Boid186,154.8579
Boid187,486.1128
Boid188,696.3011
Boid189,619.099
Boid190,230.6723
Boid191,335.5505
Boid192,673.0649
Boid193,172.7653
Boid194,32.67168
Boid195,652.196
Boid196,922.5963
Boid197,736.32
Boid198,320.4171
Boid199,1039.778
Boid200,209.8429
Boid201,422.9212
Boid202,418.8427
Boid203,183.3385
Boid204,423.2495
Boid205,579.9917
Boid206,271.5354
Boid207,764.0032
Boid208,444.6226
Boid209,325.2057
Boid210,419.2759
Boid211,419.1344
Boid212,834.7375
Boid213,392.8554
Boid214,241.4432
Boid215,902.1989
Boid216,666.7996
Boid217,262.8475
Boid218,301.9459
Boid219,93.19569
Boid220,937.3097
Boid221,738.7291
Boid222,388.9644
Boid223,1045.189
Boid224,424.3806
Boid225,425.1017
Boid226,482.0854
Boid227,403.3293
Boid228,500.2021
Boid229,939.9575
Boid230,427.9897
Boid231,891.1697
Boid232,1009.94
Boid233,237.296
Boid234,158.4994
Boid235,247.9437
Boid236,327.2508
Boid237,575.668
Boid238,718.1879
Boid239,288.6192
Boid240,670.004
Boid241,768.4749
Boid242,358.0461
Boid243,915.7118
Boid244,415.8531
Boid245,379.3005
Boid246,109.6095
Boid247,543.2795
Boid248,514.6156
Boid249,408.7357
Boid0,455.9847
Boid1,395.2591
Boid2,817.9968
Boid3,891.8159
Boid4,785.9767
Boid5,223.6384
Boid6,664.4758
Boid7,408.7619
Boid8,673.4467
Boid9,1043.145
Boid10,873.6246
Boid11,635.6692
Boid12,360.5072
Boid13,414.1368
Boid14,89.70452
Boid15,709.3448
Boid16,968.4543
Boid17,1005.091
Boid18,649.6255
Boid19,517.0253
Boid20,842.1357
Boid21,401.9672
Boid22,362.5051
Boid23,505.2145
Boid24,233.7618
Boid25,146.594
Boid26,438.9883
Boid27,599.0724
Boid28,807.8209
Boid29,352.8669
Boid30,394.2409
Boid31,889.4772
Boid32,190.2777
Boid33,116.7236
Boid34,217.5759
Boid35,791.8887
Boid36,811.926
Boid37,890.1585
Boid38,308.6214
Boid39,105.9978
Boid40,685.1262
Boid41,678.428
Boid42,398.1373
Boid43,743.1129
Boid44,1013.607
Boid45,613.6259
Boid46,619.9092
Boid47,606.9389
Boid48,928.2955
Boid49,358.184
Boid50,155.6529
Boid51,564.2713
Boid52,582.8911
Boid53,528.5627
Boid54,721.7068
Boid55,28.73219
Boid56,464.6469
Boid57,556.2463
Boid58,682.5096
Boid59,298.5062
Boid60,850.2369
Boid61,416.2842
Boid62,297.0754
Boid63,235.773
Boid64,123.5274
Boid65,438.2798
Boid66,520.6735
Boid67,456.9868
Boid68,246.2963
Boid69,709.8101
Boid70,960.1212
Boid71,643.0571
Boid72,607.294
Boid73,745.7283
Boid74,550.3019
Boid75,199.9157
Boid76,711.7498
Boid77,678.9396
Boid78,273.8449
Boid79,857.9094
Boid80,749.4755
Boid81,161.9712
Boid82,549.2558
Boid83,585.0724
Boid84,698.8157
Boid85,771.0544
Boid86,218.3415
Boid87,348.1745
Boid88,631.0591
Boid89,778.8981
Boid90,761.559
Boid91,692.0751
Boid92,647.9991
Boid93,220.5961
Boid94,196.0965
Boid95,873.1109
Boid96,594.9149
Boid97,1018.635
Boid98,937.5152
