Boid, OtherBoid
Boid1,Boid0,0.7016878
Boid2,Boid5,0.7016878
Boid3,Boid6,0.7016878
Boid4,Boid9,0.7016878
Boid5,Boid2,0.7016878
Boid6,Boid9,0.7016878
Boid7,Boid0,0.7016878
Boid8,Boid6,0.7016878
Boid9,Boid6,0.7016878
Boid0,Boid7,0.7075239
Boid1,Boid0,0.7075239
Boid2,Boid5,0.7075239
Boid3,Boid6,0.7075239
Boid4,Boid9,0.7075239
Boid5,Boid2,0.7075239
Boid6,Boid9,0.7075239
Boid7,Boid0,0.7075239
Boid8,Boid6,0.7075239
Boid9,Boid6,0.7075239
Boid0,Boid7,0.7128918
Boid1,Boid0,0.7128918
Boid2,Boid5,0.7128918
Boid3,Boid6,0.7128918
Boid4,Boid6,0.7128918
Boid5,Boid2,0.7128918
Boid6,Boid9,0.7128918
Boid7,Boid0,0.7128918
Boid8,Boid6,0.7128918
Boid9,Boid6,0.7128918
Boid0,Boid7,0.718448
Boid1,Boid0,0.718448
Boid2,Boid5,0.718448
Boid3,Boid6,0.718448
Boid4,Boid6,0.718448
Boid5,Boid2,0.718448
Boid6,Boid9,0.718448
Boid7,Boid0,0.718448
Boid8,Boid6,0.718448
Boid9,Boid6,0.718448
Boid0,Boid7,0.7245685
Boid1,Boid0,0.7245685
Boid2,Boid5,0.7245685
Boid3,Boid6,0.7245685
Boid4,Boid9,0.7245685
Boid5,Boid2,0.7245685
Boid6,Boid9,0.7245685
Boid7,Boid0,0.7245685
Boid8,Boid6,0.7245685
Boid9,Boid6,0.7245685
Boid0,Boid7,0.7302713
Boid1,Boid0,0.7302713
Boid2,Boid5,0.7302713
Boid3,Boid6,0.7302713
Boid4,Boid9,0.7302713
Boid5,Boid2,0.7302713
Boid6,Boid9,0.7302713
Boid7,Boid0,0.7302713
Boid8,Boid6,0.7302713
Boid9,Boid6,0.7302713
Boid0,Boid7,0.736055
Boid1,Boid0,0.736055
Boid2,Boid5,0.736055
Boid3,Boid6,0.736055
Boid4,Boid6,0.736055
Boid5,Boid2,0.736055
Boid6,Boid9,0.736055
Boid7,Boid0,0.736055
Boid8,Boid6,0.736055
Boid9,Boid6,0.736055
Boid0,Boid7,0.7448955
Boid1,Boid0,0.7448955
Boid2,Boid5,0.7448955
Boid3,Boid6,0.7448955
Boid4,Boid9,0.7448955
Boid5,Boid2,0.7448955
Boid6,Boid9,0.7448955
Boid7,Boid0,0.7448955
Boid8,Boid6,0.7448955
Boid9,Boid6,0.7448955
Boid0,Boid7,0.7508059
Boid1,Boid0,0.7508059
Boid2,Boid5,0.7508059
Boid3,Boid6,0.7508059
Boid4,Boid9,0.7508059
Boid5,Boid2,0.7508059
Boid6,Boid9,0.7508059
Boid7,Boid0,0.7508059
Boid8,Boid6,0.7508059
Boid9,Boid6,0.7508059
Boid0,Boid7,0.7566661
Boid1,Boid0,0.7566661
Boid2,Boid5,0.7566661
Boid3,Boid6,0.7566661
Boid4,Boid6,0.7566661
Boid5,Boid2,0.7566661
Boid6,Boid9,0.7566661
Boid7,Boid0,0.7566661
Boid8,Boid6,0.7566661
Boid9,Boid6,0.7566661
Boid0,Boid7,0.7630845
Boid1,Boid0,0.7630845
Boid2,Boid5,0.7630845
Boid3,Boid6,0.7630845
Boid4,Boid9,0.7630845
Boid5,Boid2,0.7630845
Boid6,Boid9,0.7630845
Boid7,Boid0,0.7630845
Boid8,Boid6,0.7630845
Boid9,Boid6,0.7630845
Boid0,Boid7,0.7696859
Boid1,Boid0,0.7696859
Boid2,Boid5,0.7696859
Boid3,Boid6,0.7696859
Boid4,Boid9,0.7696859
Boid5,Boid2,0.7696859
Boid6,Boid9,0.7696859
Boid7,Boid0,0.7696859
Boid8,Boid6,0.7696859
Boid9,Boid6,0.7696859
Boid0,Boid7,0.7764531
Boid1,Boid0,0.7764531
Boid2,Boid5,0.7764531
Boid3,Boid6,0.7764531
Boid4,Boid6,0.7764531
Boid5,Boid2,0.7764531
Boid6,Boid9,0.7764531
Boid7,Boid0,0.7764531
Boid8,Boid6,0.7764531
Boid9,Boid6,0.7764531
Boid0,Boid7,0.7831441
Boid1,Boid0,0.7831441
Boid2,Boid5,0.7831441
Boid3,Boid6,0.7831441
Boid4,Boid9,0.7831441
Boid5,Boid2,0.7831441
Boid6,Boid9,0.7831441
Boid7,Boid0,0.7831441
Boid8,Boid6,0.7831441
Boid9,Boid6,0.7831441
Boid0,Boid7,0.7900822
Boid1,Boid0,0.7900822
Boid2,Boid5,0.7900822
Boid3,Boid6,0.7900822
Boid4,Boid9,0.7900822
Boid5,Boid2,0.7900822
Boid6,Boid9,0.7900822
Boid7,Boid0,0.7900822
Boid8,Boid6,0.7900822
Boid9,Boid6,0.7900822
Boid0,Boid7,0.7999082
Boid1,Boid0,0.7999082
Boid2,Boid5,0.7999082
Boid3,Boid6,0.7999082
Boid4,Boid6,0.7999082
Boid5,Boid2,0.7999082
Boid6,Boid9,0.7999082
Boid7,Boid0,0.7999082
Boid8,Boid6,0.7999082
Boid9,Boid6,0.7999082
Boid0,Boid7,0.8065127
Boid1,Boid0,0.8065127
Boid2,Boid5,0.8065127
Boid3,Boid6,0.8065127
Boid4,Boid9,0.8065127
Boid5,Boid2,0.8065127
Boid6,Boid9,0.8065127
Boid7,Boid0,0.8065127
Boid8,Boid6,0.8065127
Boid9,Boid6,0.8065127
Boid0,Boid7,0.8132172
Boid1,Boid0,0.8132172
Boid2,Boid5,0.8132172
Boid3,Boid6,0.8132172
Boid4,Boid9,0.8132172
Boid5,Boid2,0.8132172
Boid6,Boid9,0.8132172
Boid7,Boid0,0.8132172
Boid8,Boid6,0.8132172
Boid9,Boid6,0.8132172
Boid0,Boid7,0.8196914
Boid1,Boid0,0.8196914
Boid2,Boid5,0.8196914
Boid3,Boid6,0.8196914
Boid4,Boid6,0.8196914
Boid5,Boid2,0.8196914
Boid6,Boid9,0.8196914
Boid7,Boid0,0.8196914
Boid8,Boid6,0.8196914
Boid9,Boid6,0.8196914
Boid0,Boid7,0.8252476
Boid1,Boid0,0.8252476
Boid2,Boid5,0.8252476
Boid3,Boid6,0.8252476
Boid4,Boid9,0.8252476
Boid5,Boid2,0.8252476
Boid6,Boid9,0.8252476
Boid7,Boid0,0.8252476
Boid8,Boid6,0.8252476
Boid9,Boid6,0.8252476
Boid0,Boid7,0.8314627
Boid1,Boid0,0.8314627
Boid2,Boid5,0.8314627
Boid3,Boid6,0.8314627
Boid4,Boid9,0.8314627
Boid5,Boid2,0.8314627
Boid6,Boid9,0.8314627
Boid7,Boid0,0.8314627
Boid8,Boid6,0.8314627
Boid9,Boid6,0.8314627
Boid0,Boid7,0.8367326
Boid1,Boid0,0.8367326
Boid2,Boid5,0.8367326
Boid3,Boid6,0.8367326
Boid4,Boid6,0.8367326
Boid5,Boid2,0.8367326
Boid6,Boid9,0.8367326
Boid7,Boid0,0.8367326
Boid8,Boid6,0.8367326
Boid9,Boid6,0.8367326
Boid0,Boid7,0.8420072
Boid1,Boid0,0.8420072
Boid2,Boid5,0.8420072
Boid3,Boid6,0.8420072
Boid4,Boid9,0.8420072
Boid5,Boid2,0.8420072
Boid6,Boid9,0.8420072
Boid7,Boid0,0.8420072
Boid8,Boid6,0.8420072
Boid9,Boid6,0.8420072
Boid0,Boid7,0.8497111
Boid1,Boid0,0.8497111
Boid2,Boid5,0.8497111
Boid3,Boid6,0.8497111
Boid4,Boid9,0.8497111
Boid5,Boid2,0.8497111
Boid6,Boid9,0.8497111
Boid7,Boid0,0.8497111
Boid8,Boid6,0.8497111
Boid9,Boid6,0.8497111
Boid0,Boid7,0.8552129
Boid1,Boid0,0.8552129
Boid2,Boid5,0.8552129
Boid3,Boid6,0.8552129
Boid4,Boid6,0.8552129
Boid5,Boid2,0.8552129
Boid6,Boid9,0.8552129
Boid7,Boid0,0.8552129
Boid8,Boid6,0.8552129
Boid9,Boid6,0.8552129
Boid0,Boid7,0.8608791
Boid1,Boid0,0.8608791
Boid2,Boid5,0.8608791
Boid3,Boid6,0.8608791
Boid4,Boid9,0.8608791
Boid5,Boid2,0.8608791
Boid6,Boid9,0.8608791
Boid7,Boid0,0.8608791
Boid8,Boid6,0.8608791
Boid9,Boid6,0.8608791
Boid0,Boid7,0.8660187
Boid1,Boid0,0.8660187
Boid2,Boid5,0.8660187
Boid3,Boid6,0.8660187
Boid4,Boid9,0.8660187
Boid5,Boid2,0.8660187
Boid6,Boid9,0.8660187
Boid7,Boid0,0.8660187
Boid8,Boid6,0.8660187
Boid9,Boid6,0.8660187
Boid0,Boid7,0.8723881
Boid1,Boid0,0.8723881
Boid2,Boid5,0.8723881
Boid3,Boid6,0.8723881
Boid4,Boid6,0.8723881
Boid5,Boid2,0.8723881
Boid6,Boid9,0.8723881
Boid7,Boid0,0.8723881
Boid8,Boid6,0.8723881
Boid9,Boid6,0.8723881
Boid0,Boid7,0.8777401
Boid1,Boid0,0.8777401
Boid2,Boid5,0.8777401
Boid3,Boid6,0.8777401
Boid4,Boid6,0.8777401
Boid5,Boid2,0.8777401
Boid6,Boid9,0.8777401
Boid7,Boid0,0.8777401
Boid8,Boid6,0.8777401
Boid9,Boid6,0.8777401
Boid0,Boid7,0.8832592
Boid1,Boid0,0.8832592
Boid2,Boid5,0.8832592
Boid3,Boid6,0.8832592
Boid4,Boid9,0.8832592
Boid5,Boid2,0.8832592
Boid6,Boid9,0.8832592
Boid7,Boid0,0.8832592
Boid8,Boid6,0.8832592
Boid9,Boid6,0.8832592
Boid0,Boid7,0.888604
Boid1,Boid0,0.888604
Boid2,Boid5,0.888604
Boid3,Boid6,0.888604
Boid4,Boid9,0.888604
Boid5,Boid2,0.888604
Boid6,Boid9,0.888604
Boid7,Boid0,0.888604
Boid8,Boid6,0.888604
Boid9,Boid6,0.888604
Boid0,Boid7,0.8965907
Boid1,Boid0,0.8965907
Boid2,Boid5,0.8965907
Boid3,Boid6,0.8965907
Boid4,Boid6,0.8965907
Boid5,Boid2,0.8965907
Boid6,Boid9,0.8965907
Boid7,Boid0,0.8965907
Boid8,Boid6,0.8965907
Boid9,Boid6,0.8965907
Boid0,Boid7,0.9020746
Boid1,Boid0,0.9020746
Boid2,Boid5,0.9020746
Boid3,Boid6,0.9020746
Boid4,Boid9,0.9020746
Boid5,Boid2,0.9020746
Boid6,Boid9,0.9020746
Boid7,Boid0,0.9020746
Boid8,Boid6,0.9020746
Boid9,Boid6,0.9020746
Boid0,Boid7,0.9079068
Boid1,Boid0,0.9079068
Boid2,Boid5,0.9079068
Boid3,Boid6,0.9079068
Boid4,Boid9,0.9079068
Boid5,Boid2,0.9079068
Boid6,Boid9,0.9079068
Boid7,Boid0,0.9079068
Boid8,Boid6,0.9079068
Boid9,Boid6,0.9079068
Boid0,Boid7,0.9134058
