boid-i, boid-j, timeElapsed
Boid24,Boid4,.552
Boid25,Boid4,.552
Boid26,Boid8,.552
Boid27,Boid8,.552
Boid28,Boid8,.552
Boid29,Boid8,.552
Boid30,Boid5,.552
Boid31,Boid44,.552
Boid32,Boid4,.552
Boid33,Boid8,.552
Boid34,Boid2,.552
Boid35,Boid47,.552
Boid36,Boid15,.552
Boid37,Boid13,.552
Boid38,Boid4,.552
Boid39,Boid8,.552
Boid40,Boid31,.552
Boid41,Boid26,.552
Boid42,Boid48,.552
Boid43,Boid47,.552
Boid44,Boid8,.552
Boid45,Boid44,.552
Boid46,Boid27,.552
Boid47,Boid4,.552
Boid48,Boid8,.552
Boid49,Boid48,.552
Boid0,Boid6,.582
Boid1,Boid6,.582
Boid2,Boid47,.582
Boid3,Boid10,.582
Boid4,Boid17,.582
Boid5,Boid17,.582
Boid6,Boid47,.582
Boid7,Boid17,.582
Boid8,Boid6,.582
Boid9,Boid17,.582
Boid10,Boid47,.582
Boid11,Boid6,.582
Boid12,Boid47,.582
Boid13,Boid6,.582
Boid14,Boid17,.582
Boid15,Boid13,.582
Boid16,Boid10,.582
Boid17,Boid4,.582
Boid18,Boid8,.582
Boid19,Boid17,.582
Boid20,Boid10,.582
Boid21,Boid24,.582
Boid22,Boid17,.582
Boid23,Boid6,.582
Boid24,Boid17,.582
Boid25,Boid17,.582
Boid26,Boid6,.582
Boid27,Boid6,.582
Boid28,Boid6,.582
Boid29,Boid6,.582
Boid30,Boid5,.582
Boid31,Boid13,.582
Boid32,Boid17,.582
Boid33,Boid6,.582
Boid34,Boid13,.582
Boid35,Boid17,.582
Boid36,Boid15,.582
Boid37,Boid13,.582
Boid38,Boid17,.582
Boid39,Boid8,.582
Boid40,Boid42,.582
Boid41,Boid6,.582
Boid42,Boid15,.582
Boid43,Boid47,.582
Boid44,Boid6,.582
Boid45,Boid13,.582
Boid46,Boid28,.582
Boid47,Boid17,.582
Boid48,Boid6,.582
Boid49,Boid15,.582
Boid0,Boid25,.603
Boid1,Boid25,.603
Boid2,Boid5,.603
Boid3,Boid12,.603
Boid4,Boid17,.603
Boid5,Boid17,.603
Boid6,Boid5,.603
Boid7,Boid17,.603
Boid8,Boid16,.603
Boid9,Boid17,.603
Boid10,Boid5,.603
Boid11,Boid25,.603
Boid12,Boid38,.603
Boid13,Boid35,.603
Boid14,Boid17,.603
Boid15,Boid3,.603
Boid16,Boid30,.603
Boid17,Boid32,.603
Boid18,Boid3,.603
Boid19,Boid17,.603
Boid20,Boid12,.603
Boid21,Boid9,.603
Boid22,Boid17,.603
Boid23,Boid6,.603
Boid24,Boid17,.603
Boid25,Boid17,.603
Boid26,Boid16,.603
Boid27,Boid38,.603
Boid28,Boid25,.603
Boid29,Boid16,.603
Boid30,Boid5,.603
Boid31,Boid13,.603
Boid32,Boid17,.603
Boid33,Boid30,.603
Boid34,Boid12,.603
Boid35,Boid32,.603
Boid36,Boid15,.603
Boid37,Boid3,.603
Boid38,Boid17,.603
Boid39,Boid44,.603
Boid40,Boid31,.603
Boid41,Boid25,.603
Boid42,Boid37,.603
Boid43,Boid5,.603
Boid44,Boid38,.603
Boid45,Boid3,.603
Boid46,Boid12,.603
Boid47,Boid17,.603
Boid48,Boid30,.603
Boid49,Boid46,.603
Boid0,Boid25,.629
Boid1,Boid25,.629
Boid2,Boid19,.629
Boid3,Boid8,.629
Boid4,Boid22,.629
Boid5,Boid19,.629
Boid6,Boid19,.629
Boid7,Boid19,.629
Boid8,Boid6,.629
Boid9,Boid19,.629
Boid10,Boid19,.629
Boid11,Boid25,.629
Boid12,Boid19,.629
Boid13,Boid6,.629
Boid14,Boid19,.629
Boid15,Boid3,.629
Boid16,Boid10,.629
Boid17,Boid19,.629
Boid18,Boid8,.629
Boid19,Boid22,.629
Boid20,Boid8,.629
Boid21,Boid7,.629
Boid22,Boid19,.629
Boid23,Boid6,.629
Boid24,Boid7,.629
Boid25,Boid19,.629
Boid26,Boid19,.629
Boid27,Boid19,.629
Boid28,Boid19,.629
Boid29,Boid2,.629
Boid30,Boid19,.629
Boid31,Boid20,.629
Boid32,Boid19,.629
Boid33,Boid6,.629
Boid34,Boid37,.629
Boid35,Boid19,.629
Boid36,Boid15,.629
Boid37,Boid3,.629
Boid38,Boid19,.629
Boid39,Boid8,.629
Boid40,Boid42,.629
Boid41,Boid25,.629
Boid42,Boid37,.629
Boid43,Boid19,.629
Boid44,Boid19,.629
Boid45,Boid3,.629
Boid46,Boid27,.629
Boid47,Boid19,.629
Boid48,Boid6,.629
Boid49,Boid48,.629
Boid0,Boid6,.654
Boid1,Boid6,.654
Boid2,Boid19,.654
Boid3,Boid26,.654
Boid4,Boid9,.654
Boid5,Boid14,.654
Boid6,Boid19,.654
Boid7,Boid14,.654
Boid8,Boid6,.654
Boid9,Boid14,.654
Boid10,Boid19,.654
Boid11,Boid6,.654
Boid12,Boid19,.654
Boid13,Boid6,.654
Boid14,Boid9,.654
Boid15,Boid18,.654
Boid16,Boid10,.654
Boid17,Boid14,.654
Boid18,Boid8,.654
