Boid,Speed
Boid212,948.7688
Boid213,1143.363
Boid214,1673.532
Boid215,878.3056
Boid216,721.8126
Boid217,1625.173
Boid218,1981.546
Boid219,1515.117
Boid220,1447.472
Boid221,701.3647
Boid222,1172.588
Boid223,515.3827
Boid224,335.1693
Boid225,1253.145
Boid226,1538.897
Boid227,2246.299
Boid228,2168.631
Boid229,1659.801
Boid230,2068.829
Boid231,1114.452
Boid232,1603.282
Boid233,1434.904
Boid234,720.9627
Boid235,1444.571
Boid236,737.5049
Boid237,788.2608
Boid238,1246.076
Boid239,484.9963
Boid240,1796.966
Boid241,1578.275
Boid242,976.4691
Boid243,1562.414
Boid244,1577.116
Boid245,753.7368
Boid246,1263.13
Boid247,1451.957
Boid248,463.1797
Boid249,1104.855
Boid0,67.51835
Boid1,133.3632
Boid2,100.6834
Boid3,16.52104
Boid4,26.77477
Boid5,130.6329
Boid6,27.35006
Boid7,28.30306
Boid8,20.44316
Boid9,38.66097
Boid10,17.33012
Boid11,129.3083
Boid12,28.43418
Boid13,47.08738
Boid14,57.58542
Boid15,124.3635
Boid16,82.46702
Boid17,93.95341
Boid18,81.9666
Boid19,68.08398
Boid20,127.4919
Boid21,85.47837
Boid22,125.6093
Boid23,80.13194
Boid24,23.42119
Boid25,21.74897
Boid26,80.0164
Boid27,126.669
Boid28,78.18454
Boid29,54.57661
Boid30,66.1237
Boid31,73.3452
Boid32,30.68058
Boid33,66.05248
Boid34,94.76214
Boid35,16.90743
Boid36,64.51862
Boid37,129.5186
Boid38,63.54572
Boid39,85.12407
Boid40,96.59916
Boid41,76.46154
Boid42,110.344
Boid43,124.6939
Boid44,57.59095
Boid45,54.60262
Boid46,109.4753
Boid47,47.13196
Boid48,71.24817
Boid49,49.37006
Boid50,18.16276
Boid51,56.65742
Boid52,70.38013
Boid53,45.83346
Boid54,57.83205
Boid55,45.73703
Boid56,105.5097
Boid57,123.9374
Boid58,94.1688
Boid59,98.62127
Boid60,50.18428
Boid61,52.93101
Boid62,83.05302
Boid63,64.72031
Boid64,43.56473
Boid65,86.86732
Boid66,18.03969
Boid67,91.25779
Boid68,59.50047
Boid69,71.90106
Boid70,8.433125
Boid71,69.52441
Boid72,88.66341
Boid73,118.9446
Boid74,11.08288
Boid75,60.24879
Boid76,86.35584
Boid77,95.89807
Boid78,117.0913
Boid79,107.0321
Boid80,89.94051
Boid81,23.85513
Boid82,37.91046
Boid83,69.21041
Boid84,71.09919
Boid85,96.45476
Boid86,109.6929
Boid87,56.58018
Boid88,25.57729
Boid89,98.75583
Boid90,29.37322
Boid91,118.172
Boid92,81.93272
Boid93,55.07853
Boid94,126.8566
Boid95,71.57925
Boid96,32.76553
Boid97,93.51896
Boid98,35.96218
Boid99,80.54052
Boid100,59.07028
Boid101,105.167
Boid102,71.54004
Boid103,48.05125
Boid104,33.6188
Boid105,82.7527
Boid106,45.74932
Boid107,85.20046
Boid108,109.2496
Boid109,66.49507
Boid110,83.98792
Boid111,71.30449
Boid112,23.94641
Boid113,4.322688
Boid114,65.15559
Boid115,93.02311
Boid116,81.92621
Boid117,90.28659
Boid118,35.90334
Boid119,81.44051
Boid120,25.24964
Boid121,77.11691
Boid122,115.6367
Boid123,20.8836
Boid124,73.39655
Boid125,30.85863
Boid126,42.76286
Boid127,100.085
Boid128,100.1228
Boid129,43.95336
Boid130,77.12001
Boid131,70.30778
Boid132,58.08858
Boid133,52.43731
